sale_id,customer_id,sale_date,sale_value,used_in_exchange,product_description,customer_type
81703409-4fe5-429d-bb9f-d1c40aae1056,d5e8fc02-f041-4695-9689-6a31333febe3,2026-02-05 00:03:19.207,199000.0,False,KICKS 1.0T PLATINUM AT,PERSON
41d84cf6-4715-47af-9940-5824f4f8b844,c749de96-bd66-4602-b1f2-924b554ad77e,2026-02-04 23:53:44.415,115900.0,False,KICKS PLAY 1.6 SENSE CVT,PERSON
4b98d279-150d-4bf0-b301-e3d519910aa3,0706a533-ac37-46c0-b447-22c0e8ec828d,2026-02-04 22:04:45.517,19150.0,False,NS160,PERSON
6e593111-eb84-40e5-8c0e-9a7b295854cc,9b1cbbed-a816-4749-ac65-e46e8798a5e7,2026-02-04 21:01:02.683,26990.0,False,DOMINAR NS400Z,PERSON
a0930c20-de95-419b-a0f4-8b5cfa5f1d10,055885e9-918c-4dbf-9e8b-3ee9790a8493,2026-02-04 21:00:45.905,159990.0,False,OMODA 5 LUXURY HEV CL,PERSON
00ffc6bf-211d-4c3e-bc46-3b9e5f7164a1,48876908-6e12-4f50-87ba-ca8830630b23,2026-02-04 21:00:22.697,25000.0,False,NS400Z,PERSON
6a47056b-c1e9-4676-9d8e-7eb039136c1e,7f07f532-d8ac-4d2f-80fe-d998e3948b7f,2026-02-04 20:41:25.348,154100.0,False,OMODA 5 LUXURY HEV CL,PERSON
2b79f487-8bbc-4b18-a302-9fceab61baa0,13fb3849-cd05-4a4b-922c-9334be1a3640,2026-02-04 20:40:29.566,282000.0,False,HILUX CD DSL 4X4 SRV AT 25/26,PERSON
c24cac15-576c-4344-aa5b-f56f2e7757e7,5c9fe51d-6365-4c28-9bff-237f243b4cf7,2026-02-04 16:59:49.448,222000.0,False,COROLLA CROSS XRX 1.8 HV CVT,PERSON
574a7f96-0ca3-4613-a629-e95d622edb90,a7c2043d-7449-4c29-8977-d637f144d92a,2026-02-04 16:54:00.000,70700.0,False,CRETA 16A ACTION,COMPANY
